TransactionID,Date,ProductName,Category,Region,SalesChannel,Quantity,UnitPrice,TotalAmount,PaymentMode,CustomerID
TXN002405,10/3/2024,Wireless Earbuds,Electronics,South,Online,2,2415.38,4830.76,Credit Card,CUST0211
TXN001324,10/3/2024,Perfume 100ml,Beauty & Personal Care,East,Online,3,1736.37,5209.11,Credit Card,CUST0230
TXN000827,10/3/2024,Bluetooth Speaker,Electronics,West,Online,2,1936.5,3873,Credit Card,CUST0465
TXN003975,10/3/2024,Wheat Flour 5kg,Grocery,West,Offline,5,235.34,1176.7,UPI,CUST0271
TXN004438,10/3/2024,Sunflower Oil 1L,Grocery,East,Online,4,199.1,796.4,UPI,CUST0504
TXN001496,10/3/2024,Formal Shirt,Clothing,North,Online,1,1070.49,1070.49,Credit Card,CUST0314
TXN001024,10/3/2024,Face Wash,Beauty & Personal Care,South,Online,1,284.66,284.66,Credit Card,CUST0325
TXN000858,10/3/2024,Face Wash,Beauty & Personal Care,North,Offline,1,376.21,376.21,Net Banking,CUST0446
TXN005422,10/3/2024,Winter Jacket,Clothing,East,Offline,2,1301.86,2603.72,Cash,CUST0465
TXN002855,10/3/2024,Women's Kurti,Clothing,West,Online,2,882.32,1764.64,Credit Card,CUST0250
TXN001195,10/3/2024,Basmati Rice 5kg,Grocery,South,Offline,1,611.48,611.48,Cash,CUST0262
TXN004980,10/3/2024,Denim Jeans,Clothing,South,Online,4,1675.21,6700.84,UPI,CUST0446
TXN000929,10/3/2024,Women's Kurti,Clothing,South,Offline,2,712.4,1424.8,UPI,CUST0714
TXN003359,10/3/2024,Sugar 1kg,Grocery,South,Online,1,53.94,53.94,Credit Card,CUST0325
TXN005504,10/3/2024,Non-Stick Pan,Home & Kitchen,East,Online,1,847.01,847.01,Credit Card,CUST0779
TXN002840,10/4/2024,Toor Dal 1kg,Grocery,South,Online,3,151.35,454.05,Net Banking,CUST0509
TXN005276,10/4/2024,Wheat Flour 5kg,Grocery,North,Online,3,228.81,686.43,Cash,CUST0475
TXN000967,10/4/2024,Kids Hoodie,Clothing,West,Offline,1,1178.75,1178.75,Credit Card,CUST0044
TXN004459,10/4/2024,Sunflower Oil 1L,Grocery,North,Offline,1,131.02,131.02,Credit Card,CUST0759
TXN005678,10/4/2024,Men's T-Shirt,Clothing,North,Online,3,873.55,2620.65,Credit Card,CUST0249
TXN001986,10/4/2024,Body Lotion,Beauty & Personal Care,East,Offline,1,499.89,499.89,Cash,CUST0837
TXN004677,10/4/2024,Perfume 100ml,Beauty & Personal Care,North,Online,3,2361.89,7085.67,Credit Card,CUST0552
TXN003882,10/4/2024,Men's T-Shirt,Clothing,South,Online,2,525.58,1051.16,UPI,CUST0183
TXN001783,10/4/2024,Winter Jacket,Clothing,West,Offline,1,1625.33,1625.33,Net Banking,CUST0012
TXN004081,10/4/2024,Water Bottle,Home & Kitchen,North,Online,2,208.99,417.98,Cash,CUST0870
TXN004385,10/4/2024,Winter Jacket,Clothing,North,Online,2,1922.4,3844.8,Credit Card,CUST0419
TXN003034,10/4/2024,Tea Powder 500g,Grocery,West,Offline,2,204.92,409.84,Credit Card,CUST0213
TXN004613,10/4/2024,Wireless Earbuds,Electronics,East,Offline,3,2080.04,6240.12,Credit Card,CUST0773
TXN001193,10/4/2024,Bed Sheet Set,Home & Kitchen,East,Online,1,1695.73,1695.73,Net Banking,CUST0194
TXN002403,10/4/2024,LED TV 32in,Electronics,East,Offline,1,14263.54,14263.54,UPI,CUST0499
TXN002222,10/4/2024,Wireless Earbuds,Electronics,West,Offline,4,2858.38,11433.52,Credit Card,CUST0236
TXN002158,10/4/2024,Basmati Rice 5kg,Grocery,North,Offline,1,441.6,441.6,UPI,CUST0071
TXN002177,10/4/2024,Bed Sheet Set,Home & Kitchen,South,Offline,1,1095.94,1095.94,UPI,CUST0843
TXN002498,10/5/2024,Formal Shirt,Clothing,North,Online,2,1193.56,2387.12,Credit Card,CUST0752
TXN004431,10/5/2024,Women's Kurti,Clothing,North,Online,2,835.65,1671.3,UPI,CUST0243
TXN000596,10/5/2024,Formal Shirt,Clothing,West,Online,5,749.55,3747.75,Credit Card,CUST0572
TXN005776,10/5/2024,Sunflower Oil 1L,Grocery,West,Online,2,202.2,404.4,Credit Card,CUST0766
TXN003423,10/5/2024,Sugar 1kg,Grocery,North,Online,1,58.81,58.81,UPI,CUST0575
TXN001492,10/5/2024,Mixer Grinder,Home & Kitchen,North,Online,4,2929,11716,Credit Card,CUST0158
TXN005017,10/5/2024,Sunscreen SPF50,Beauty & Personal Care,North,Online,1,680.87,680.87,Cash,CUST0882
TXN002382,10/5/2024,Sunscreen SPF50,Beauty & Personal Care,West,Online,3,279.59,838.77,Credit Card,CUST0179
TXN004070,10/5/2024,Wheat Flour 5kg,Grocery,South,Offline,1,263.6,263.6,Cash,CUST0394
TXN002674,10/5/2024,Women's Kurti,Clothing,West,Offline,3,594.29,1782.87,Cash,CUST0891
TXN003571,10/5/2024,LED Bulb Pack,Home & Kitchen,South,Offline,2,209.4,418.8,Cash,CUST0807
TXN001037,10/5/2024,Hair Oil,Beauty & Personal Care,South,Online,1,192.21,192.21,Credit Card,CUST0249
TXN001012,10/5/2024,Basmati Rice 5kg,Grocery,South,Online,2,351.5,703,Net Banking,CUST0782
TXN003355,10/5/2024,Wireless Earbuds,Electronics,South,Online,1,2336.79,2336.79,Credit Card,CUST0155
TXN002074,10/5/2024,Non-Stick Pan,Home & Kitchen,West,Online,2,1091.21,2182.42,Cash,CUST0649
TXN002760,10/5/2024,Sunscreen SPF50,Beauty & Personal Care,West,Offline,2,640.3,1280.6,Cash,CUST0808
TXN002868,10/6/2024,LED Bulb Pack,Home & Kitchen,South,Online,1,292.57,292.57,Cash,CUST0399
TXN003540,10/6/2024,Shampoo 400ml,Beauty & Personal Care,North,Online,3,418.64,1255.92,UPI,CUST0229
TXN005781,10/6/2024,Wheat Flour 5kg,Grocery,West,Online,1,210.69,210.69,Credit Card,CUST0555
TXN001252,10/6/2024,Basmati Rice 5kg,Grocery,East,Offline,3,526.15,1578.45,Credit Card,CUST0166
TXN003695,10/6/2024,Perfume 100ml,Beauty & Personal Care,East,Online,1,1972.99,1972.99,UPI,CUST0395
TXN001509,10/6/2024,Mixer Grinder,Home & Kitchen,North,Offline,1,2810.36,2810.36,Net Banking,CUST0887
TXN004009,10/6/2024,Denim Jeans,Clothing,North,Online,4,1412.78,5651.12,UPI,CUST0658
TXN002808,10/6/2024,Men's T-Shirt,Clothing,West,Online,1,505.46,505.46,Net Banking,CUST0256
TXN002775,10/6/2024,Shampoo 400ml,Beauty & Personal Care,North,Online,2,250.53,501.06,Net Banking,CUST0530
TXN003155,10/6/2024,LED TV 32in,Electronics,East,Offline,2,15294.95,30589.9,Net Banking,CUST0692
TXN004854,10/6/2024,LED Bulb Pack,Home & Kitchen,East,Online,2,251.34,502.68,Credit Card,CUST0694
TXN002836,10/6/2024,Smartwatch,Electronics,East,Online,1,3193.83,3193.83,Cash,CUST0429
TXN004504,10/6/2024,Women's Kurti,Clothing,South,Online,2,1414.76,2829.52,UPI,CUST0236
TXN004122,10/6/2024,Body Lotion,Beauty & Personal Care,East,Online,1,497.23,497.23,Net Banking,CUST0400
TXN005686,10/6/2024,LED Bulb Pack,Home & Kitchen,East,Offline,4,154.86,619.44,UPI,CUST0384
TXN001222,10/6/2024,Body Lotion,Beauty & Personal Care,North,Online,1,222.91,222.91,UPI,CUST0458
TXN001521,10/6/2024,Kids Hoodie,Clothing,East,Online,1,618.54,618.54,UPI,CUST0154
TXN005112,10/6/2024,Wheat Flour 5kg,Grocery,North,Offline,2,248.03,496.06,Net Banking,CUST0726
TXN005956,10/7/2024,Toor Dal 1kg,Grocery,West,Online,1,167.26,167.26,UPI,CUST0297
TXN003299,10/7/2024,Women's Kurti,Clothing,South,Online,1,1123.77,1123.77,UPI,CUST0406
TXN001251,10/7/2024,Sunscreen SPF50,Beauty & Personal Care,South,Online,1,540.18,540.18,UPI,CUST0306
TXN002850,10/7/2024,Women's Kurti,Clothing,East,Online,2,1094.02,2188.04,Credit Card,CUST0790
TXN003274,10/7/2024,Winter Jacket,Clothing,West,Online,1,2636.27,2636.27,UPI,CUST0476
TXN001678,10/7/2024,Wheat Flour 5kg,Grocery,North,Online,1,253.5,253.5,UPI,CUST0524
TXN001838,10/7/2024,Water Bottle,Home & Kitchen,West,Online,2,211.26,422.52,Cash,CUST0486
TXN002546,10/7/2024,Non-Stick Pan,Home & Kitchen,West,Offline,2,1137.96,2275.92,Cash,CUST0551
TXN000092,10/7/2024,Laptop Bag,Electronics,West,Offline,3,723.11,2169.33,UPI,CUST0596
TXN004468,10/7/2024,Shampoo 400ml,Beauty & Personal Care,South,Online,1,408.88,408.88,Credit Card,CUST0344
TXN000693,10/7/2024,Toor Dal 1kg,Grocery,East,Offline,1,163.58,163.58,Net Banking,CUST0122
TXN003717,10/7/2024,LED Bulb Pack,Home & Kitchen,South,Online,1,292.89,292.89,Net Banking,CUST0720
TXN001490,10/7/2024,Sunscreen SPF50,Beauty & Personal Care,South,Online,2,419.06,838.12,Credit Card,CUST0585
TXN003313,10/7/2024,Water Bottle,Home & Kitchen,South,Online,3,220.27,660.81,UPI,CUST0486
TXN005474,10/7/2024,Shampoo 400ml,Beauty & Personal Care,West,Offline,1,251.58,251.58,Cash,CUST0809
TXN000759,10/7/2024,Shampoo 400ml,Beauty & Personal Care,West,Offline,1,458.49,458.49,Cash,CUST0367
TXN004188,10/7/2024,Laptop Bag,Electronics,East,Offline,4,1667.95,6671.8,UPI,CUST0056
TXN004915,10/7/2024,Tea Powder 500g,Grocery,East,Online,4,197.65,790.6,UPI,CUST0068
TXN002756,10/7/2024,Hair Oil,Beauty & Personal Care,North,Offline,1,169.01,169.01,Credit Card,CUST0195
TXN000622,10/7/2024,Non-Stick Pan,Home & Kitchen,North,Online,1,705.26,705.26,Net Banking,CUST0827
TXN000763,10/7/2024,Toor Dal 1kg,Grocery,North,Online,2,168.22,336.44,UPI,CUST0814
TXN002688,10/7/2024,Body Lotion,Beauty & Personal Care,East,Online,1,519.18,519.18,Credit Card,CUST0679
TXN004198,10/8/2024,Non-Stick Pan,Home & Kitchen,West,Online,4,656.14,2624.56,UPI,CUST0246
TXN000290,10/8/2024,Formal Shirt,Clothing,North,Online,4,932.96,3731.84,Cash,CUST0616
TXN001443,10/8/2024,Shampoo 400ml,Beauty & Personal Care,North,Offline,4,460.45,1841.8,UPI,CUST0075
TXN005922,10/8/2024,Wheat Flour 5kg,Grocery,East,Offline,2,217.8,435.6,UPI,CUST0472
TXN004719,10/8/2024,Power Bank 10000mAh,Electronics,South,Online,4,1467.24,5868.96,Credit Card,CUST0489
TXN005045,10/8/2024,Smartwatch,Electronics,South,Online,4,2848.9,11395.6,Cash,CUST0859
TXN005229,10/8/2024,Non-Stick Pan,Home & Kitchen,South,Offline,1,760.15,760.15,Credit Card,CUST0141
TXN001360,10/8/2024,Body Lotion,Beauty & Personal Care,North,Offline,1,519.91,519.91,Credit Card,CUST0399
TXN003447,10/8/2024,LED TV 32in,Electronics,North,Online,1,11159.79,11159.79,UPI,CUST0716
TXN002246,10/8/2024,Sunscreen SPF50,Beauty & Personal Care,North,Online,1,524.75,524.75,UPI,CUST0339
TXN004591,10/8/2024,LED Bulb Pack,Home & Kitchen,East,Online,1,191.84,191.84,UPI,CUST0151
TXN003741,10/9/2024,Mixer Grinder,Home & Kitchen,East,Online,5,2905.86,14529.3,UPI,CUST0842
TXN004887,10/9/2024,Laptop Bag,Electronics,North,Online,5,1131.45,5657.25,Cash,CUST0249
TXN005722,10/9/2024,Pressure Cooker,Home & Kitchen,East,Offline,4,1096.83,4387.32,Credit Card,CUST0379
TXN001552,10/9/2024,Toor Dal 1kg,Grocery,West,Offline,1,134.98,134.98,UPI,CUST0860
TXN002214,10/9/2024,Basmati Rice 5kg,Grocery,North,Online,2,481.45,962.9,Credit Card,CUST0088
TXN004194,10/9/2024,LED Bulb Pack,Home & Kitchen,East,Offline,1,304.67,304.67,Credit Card,CUST0116
TXN005669,10/9/2024,Smartwatch,Electronics,North,Online,2,3680.63,7361.26,Credit Card,CUST0360
TXN003310,10/9/2024,Men's T-Shirt,Clothing,North,Offline,2,526.19,1052.38,Credit Card,CUST0054
TXN001663,10/9/2024,Winter Jacket,Clothing,South,Offline,1,2765.32,2765.32,UPI,CUST0051
TXN003794,10/9/2024,Basmati Rice 5kg,Grocery,East,Offline,1,641.71,641.71,Net Banking,CUST0472
TXN005903,10/9/2024,LED TV 32in,Electronics,East,Offline,2,15806.09,31612.18,UPI,CUST0208
TXN005334,10/9/2024,Wireless Earbuds,Electronics,South,Offline,3,2283.37,6850.11,Credit Card,CUST0166
TXN002524,10/9/2024,Women's Kurti,Clothing,East,Online,3,509.32,1527.96,Credit Card,CUST0039
TXN002103,10/9/2024,Body Lotion,Beauty & Personal Care,North,Offline,2,424.46,848.92,UPI,CUST0241
TXN003171,10/9/2024,Non-Stick Pan,Home & Kitchen,East,Online,2,647.55,1295.1,UPI,CUST0293
TXN002216,10/9/2024,Smartwatch,Electronics,North,Online,3,4250.53,12751.59,Credit Card,CUST0784
TXN002530,10/9/2024,Men's T-Shirt,Clothing,East,Online,5,648.92,3244.6,Credit Card,CUST0513
TXN003511,10/9/2024,Men's T-Shirt,Clothing,North,Online,1,471.46,471.46,Credit Card,CUST0071
TXN004059,10/9/2024,Mixer Grinder,Home & Kitchen,West,Online,1,2449.41,2449.41,UPI,CUST0181
TXN001425,10/9/2024,Bluetooth Speaker,Electronics,West,Offline,3,2220.76,6662.28,UPI,CUST0734
TXN004907,10/9/2024,Body Lotion,Beauty & Personal Care,South,Offline,3,532.58,1597.74,Net Banking,CUST0314
TXN003727,10/10/2024,Sugar 1kg,Grocery,East,Online,2,48,96,Net Banking,CUST0304
TXN002807,10/10/2024,Bluetooth Speaker,Electronics,West,Online,2,3240.24,6480.48,Credit Card,CUST0654
TXN000618,10/10/2024,Basmati Rice 5kg,Grocery,North,Offline,2,415.73,831.46,Credit Card,CUST0800
TXN005688,10/10/2024,Pressure Cooker,Home & Kitchen,East,Online,1,2228.59,2228.59,Cash,CUST0051
TXN005609,10/10/2024,Bluetooth Speaker,Electronics,South,Online,2,1352.11,2704.22,UPI,CUST0760
TXN003768,10/10/2024,Laptop Bag,Electronics,East,Online,1,1724.21,1724.21,Credit Card,CUST0749
TXN004475,10/10/2024,Bluetooth Speaker,Electronics,East,Online,3,3165.29,9495.87,Credit Card,CUST0442
TXN003941,10/10/2024,Sunscreen SPF50,Beauty & Personal Care,West,Offline,1,627.3,627.3,UPI,CUST0848
TXN005201,10/10/2024,Face Wash,Beauty & Personal Care,South,Offline,4,180.79,723.16,Net Banking,CUST0322
TXN003124,10/10/2024,Formal Shirt,Clothing,West,Online,4,1509.95,6039.8,UPI,CUST0736
TXN004641,10/11/2024,Men's T-Shirt,Clothing,South,Online,4,457.71,1830.84,Credit Card,CUST0105
TXN005574,10/11/2024,Water Bottle,Home & Kitchen,East,Online,1,189.4,189.4,Cash,CUST0863
TXN000935,10/11/2024,Perfume 100ml,Beauty & Personal Care,East,Online,3,1418.05,4254.15,Credit Card,CUST0721
TXN005544,10/11/2024,Women's Kurti,Clothing,East,Offline,4,1228.53,4914.12,Cash,CUST0035
TXN005791,10/11/2024,Laptop Bag,Electronics,West,Online,1,946.95,946.95,UPI,CUST0706
TXN003873,10/11/2024,Non-Stick Pan,Home & Kitchen,East,Offline,2,1175.5,2351,Credit Card,CUST0227
TXN005299,10/11/2024,Hair Oil,Beauty & Personal Care,North,Online,2,142.29,284.58,Credit Card,CUST0199
TXN005984,10/11/2024,Power Bank 10000mAh,Electronics,South,Offline,1,1792.11,1792.11,Credit Card,CUST0422
TXN000075,10/11/2024,Kids Hoodie,Clothing,East,Offline,1,673.1,673.1,Credit Card,CUST0034
TXN004506,10/11/2024,Denim Jeans,Clothing,West,Online,1,862.98,862.98,Cash,CUST0798
TXN004971,10/11/2024,Sugar 1kg,Grocery,West,Online,2,50.31,100.62,Credit Card,CUST0199
TXN003413,10/12/2024,Tea Powder 500g,Grocery,West,Online,2,330.48,660.96,UPI,CUST0119
TXN003496,10/12/2024,Winter Jacket,Clothing,West,Online,1,3205.87,3205.87,Cash,CUST0750
TXN002591,10/12/2024,Pressure Cooker,Home & Kitchen,South,Online,2,1534.17,3068.34,UPI,CUST0081
TXN001568,10/12/2024,Smartwatch,Electronics,North,Online,1,5982.47,5982.47,Cash,CUST0039
TXN003001,10/12/2024,Kids Hoodie,Clothing,North,Online,1,980.21,980.21,Credit Card,CUST0397
TXN004528,10/12/2024,LED Bulb Pack,Home & Kitchen,North,Online,4,173.69,694.76,Credit Card,CUST0230
TXN003306,10/12/2024,Perfume 100ml,Beauty & Personal Care,South,Online,3,2162.16,6486.48,Credit Card,CUST0439
TXN001898,10/12/2024,Formal Shirt,Clothing,North,Offline,1,836.36,836.36,Net Banking,CUST0533
TXN003552,10/12/2024,Water Bottle,Home & Kitchen,South,Online,4,445.17,1780.68,Credit Card,CUST0509
TXN004797,10/12/2024,Mixer Grinder,Home & Kitchen,North,Online,1,2080.21,2080.21,UPI,CUST0409
TXN001557,10/12/2024,Pressure Cooker,Home & Kitchen,South,Online,3,1576.05,4728.15,Net Banking,CUST0406
TXN002761,10/12/2024,Bluetooth Speaker,Electronics,East,Online,2,2824.19,5648.38,Credit Card,CUST0465
TXN002131,10/12/2024,Formal Shirt,Clothing,North,Online,1,1350.27,1350.27,Credit Card,CUST0192
TXN000278,10/12/2024,Smartwatch,Electronics,South,Online,5,5306.25,26531.25,Credit Card,CUST0105
TXN001278,10/12/2024,Non-Stick Pan,Home & Kitchen,South,Online,2,443.26,886.52,Cash,CUST0544
TXN005537,10/12/2024,LED TV 32in,Electronics,East,Offline,2,11503.2,23006.4,Credit Card,CUST0490
TXN003842,10/12/2024,Winter Jacket,Clothing,East,Online,5,2109.12,10545.6,Net Banking,CUST0108
TXN003800,10/13/2024,Body Lotion,Beauty & Personal Care,West,Online,1,523.25,523.25,Net Banking,CUST0878
TXN003920,10/13/2024,LED TV 32in,Electronics,East,Offline,2,15412.06,30824.12,Credit Card,CUST0192
TXN004570,10/13/2024,Winter Jacket,Clothing,North,Online,1,2770.38,2770.38,Credit Card,CUST0327
TXN005764,10/13/2024,LED TV 32in,Electronics,South,Offline,2,15782.03,31564.06,Credit Card,CUST0662
TXN004593,10/13/2024,LED Bulb Pack,Home & Kitchen,East,Offline,1,205.26,205.26,UPI,CUST0502
TXN000330,10/13/2024,Winter Jacket,Clothing,West,Online,2,1546.71,3093.42,UPI,CUST0383
TXN003091,10/13/2024,Laptop Bag,Electronics,West,Offline,2,1556.52,3113.04,UPI,CUST0077
TXN001907,10/13/2024,LED Bulb Pack,Home & Kitchen,East,Online,2,267.43,534.86,Credit Card,CUST0676
TXN003318,10/13/2024,Bed Sheet Set,Home & Kitchen,West,Online,1,1699.43,1699.43,Cash,CUST0451
TXN001924,10/13/2024,Body Lotion,Beauty & Personal Care,South,Online,1,319.81,319.81,Net Banking,CUST0212
TXN001234,10/13/2024,Laptop Bag,Electronics,West,Online,1,1694.6,1694.6,UPI,CUST0475
TXN003326,10/13/2024,Shampoo 400ml,Beauty & Personal Care,West,Online,4,393.37,1573.48,UPI,CUST0646
TXN003105,10/14/2024,Face Wash,Beauty & Personal Care,West,Offline,1,232.3,232.3,Credit Card,CUST0141
TXN000221,10/14/2024,Denim Jeans,Clothing,West,Online,1,1906.52,1906.52,Credit Card,CUST0794
TXN004051,10/14/2024,Non-Stick Pan,Home & Kitchen,East,Online,2,407.12,814.24,UPI,CUST0367
TXN001636,10/14/2024,Denim Jeans,Clothing,East,Offline,1,2127.22,2127.22,Net Banking,CUST0744
TXN005166,10/14/2024,LED TV 32in,Electronics,North,Offline,2,15811.12,31622.24,Credit Card,CUST0710
TXN003791,10/14/2024,LED Bulb Pack,Home & Kitchen,North,Online,1,331.41,331.41,Credit Card,CUST0340
TXN003928,10/14/2024,Shampoo 400ml,Beauty & Personal Care,East,Online,2,445.79,891.58,Credit Card,CUST0158
TXN003796,10/14/2024,Wireless Earbuds,Electronics,West,Offline,2,1012.24,2024.48,Credit Card,CUST0786
TXN003412,10/14/2024,Perfume 100ml,Beauty & Personal Care,South,Offline,4,1171.48,4685.92,Credit Card,CUST0837
TXN002112,10/14/2024,Shampoo 400ml,Beauty & Personal Care,East,Offline,1,490.24,490.24,UPI,CUST0262
TXN004018,10/14/2024,Wheat Flour 5kg,Grocery,South,Online,2,346.44,692.88,Credit Card,CUST0345
TXN001033,10/14/2024,Bed Sheet Set,Home & Kitchen,South,Offline,1,1725.1,1725.1,UPI,CUST0499
TXN004532,10/15/2024,Women's Kurti,Clothing,West,Offline,2,724.13,1448.26,UPI,CUST0085
TXN000977,10/15/2024,Sunflower Oil 1L,Grocery,East,Online,3,136,408,UPI,CUST0518
TXN004823,10/15/2024,Denim Jeans,Clothing,North,Offline,2,1240.86,2481.72,Credit Card,CUST0711
TXN001026,10/15/2024,Non-Stick Pan,Home & Kitchen,South,Online,1,900.24,900.24,Credit Card,CUST0089
TXN005494,10/15/2024,LED Bulb Pack,Home & Kitchen,West,Online,1,253.33,253.33,Cash,CUST0595
TXN003767,10/15/2024,Smartwatch,Electronics,South,Offline,1,4619.25,4619.25,Credit Card,CUST0104
TXN001684,10/15/2024,Smartwatch,Electronics,North,Online,1,5666.81,5666.81,Net Banking,CUST0412
TXN002763,10/15/2024,Pressure Cooker,Home & Kitchen,South,Offline,4,1069.25,4277,Cash,CUST0051
TXN001810,10/15/2024,Bed Sheet Set,Home & Kitchen,North,Offline,1,955.32,955.32,Credit Card,CUST0265
TXN004255,10/15/2024,Formal Shirt,Clothing,North,Offline,1,963.32,963.32,Cash,CUST0576
TXN005929,10/15/2024,Tea Powder 500g,Grocery,North,Offline,2,281.4,562.8,Credit Card,CUST0576
TXN003280,10/15/2024,Shampoo 400ml,Beauty & Personal Care,North,Online,4,410.21,1640.84,Credit Card,CUST0274
TXN003401,10/15/2024,LED TV 32in,Electronics,South,Online,1,11556.29,11556.29,Cash,CUST0075
TXN005277,10/15/2024,Power Bank 10000mAh,Electronics,South,Online,4,798.27,3193.08,Cash,CUST0499
TXN003495,10/15/2024,Sunflower Oil 1L,Grocery,North,Offline,2,145.37,290.74,Cash,CUST0842
TXN003215,10/15/2024,Face Wash,Beauty & Personal Care,West,Online,3,325.49,976.47,Cash,CUST0523
TXN001704,10/15/2024,Power Bank 10000mAh,Electronics,West,Offline,1,1686.18,1686.18,Credit Card,CUST0281
TXN003863,10/16/2024,Basmati Rice 5kg,Grocery,South,Online,1,512.51,512.51,Cash,CUST0672
TXN003054,10/16/2024,Laptop Bag,Electronics,West,Online,1,1669.8,1669.8,UPI,CUST0128
TXN005753,10/16/2024,Winter Jacket,Clothing,South,Offline,1,1978.56,1978.56,UPI,CUST0288
TXN005775,10/16/2024,Mixer Grinder,Home & Kitchen,South,Offline,3,3171.41,9514.23,Credit Card,CUST0127
TXN002148,10/16/2024,LED TV 32in,Electronics,North,Offline,1,13868.51,13868.51,UPI,CUST0315
TXN000675,10/16/2024,Basmati Rice 5kg,Grocery,North,Offline,1,657.87,657.87,Credit Card,CUST0204
TXN004168,10/16/2024,Body Lotion,Beauty & Personal Care,South,Online,1,596.61,596.61,UPI,CUST0306
TXN001044,10/16/2024,Smartwatch,Electronics,West,Online,3,1984.4,5953.2,UPI,CUST0616
TXN002447,10/16/2024,Mixer Grinder,Home & Kitchen,North,Online,4,4239.9,16959.6,Credit Card,CUST0249
